     0    23    29    36    46    53    32    28    64    13    65    36    48     8    47    27   761   812   795   795
    23     0     8    33    42    45    10    25    48    13    51    15    32    27    26    37   738   789   772   772
    29     8     0    40    49    52     3    33    51    21    55     7    35    31    25    45   732   782   765   765
    36    33    40     0    10    17    40     9    34    27    32    46    23    44    35    19   750   803   787   784
    46    42    49    10     0     8    48    19    30    37    26    54    24    54    39    26   749   802   787   782
    53    45    52    17     8     0    51    25    23    43    19    56    22    60    38    34   743   797   781   776
    32    10     3    40    48    51     0    33    49    23    53     6    33    34    22    46   729   780   762   762
    28    25    33     9    19    25    33     0    39    18    38    39    25    35    33    17   750   802   786   784
    64    48    51    34    30    23    49    39     0    52     7    53    17    71    29    53   719   774   758   753
    13    13    21    27    37    43    23    18    52     0    53    27    35    19    35    25   750   801   784   784
    65    51    55    32    26    19    53    38     7    53     0    57    20    72    34    51   725   779   764   758
    36    15     7    46    54    56     6    39    53    27    57     0    38    37    25    52   725   776   759   759
    48    32    35    23    24    22    33    25    17    35    20    38     0    54    17    41   727   780   764   760
     8    27    31    44    54    60    34    35    71    19    72    37    54     0    52    35   762   813   795   796
    47    26    25    35    39    38    22    33    29    35    34    25    17    52     0    50   718   770   753   751
    27    37    45    19    26    34    46    17    53    25    51    52    41    35    50     0   767   819   803   801
   761   738   732   750   749   743   729   750   719   750   725   725   727   762   718   767     0    73    86    34
   812   789   782   803   802   797   780   802   774   801   779   776   780   813   770   819    73     0    32    53
   795   772   765   787   787   781   762   786   758   784   764   759   764   795   753   803    86    32     0    77
   795   772   765   784   782   776   762   784   753   784   758   759   760   796   751   801    34    53    77     0
